"path","type","status","target_lufs","true_peak_db","before_mean_db","before_max_db","after_mean_db","after_max_db","audio_codec_before","audio_codec_after","backup"
"assets\bar3_lever_on.mp4","mp4","no-audio/skipped","-18","-1","","","","","","",""
"assets\devil_zone_fire.mp4","mp4","no-audio/skipped","-18","-1","","","","","","",""
"assets\media\bar_bgm.mp3","mp3","normalized","-18","-1","-30.9","-17.7","-21.5","-7.8","mp3","mp3","C:\Users\RIZI1\Documents\Codex\2026-05-15\new-chat\whitedevil-current\_audio_backup\normalize_media_20260614_092922\assets\media\bar_bgm.mp3"
"assets\media\gekiachu.mp4","mp4","normalized","-18","-1","-20.9","-6.3","-26.6","-12.7","aac","aac","C:\Users\RIZI1\Documents\Codex\2026-05-15\new-chat\whitedevil-current\_audio_backup\normalize_media_20260614_092922\assets\media\gekiachu.mp4"
"assets\media\normal_bgm.mp3","mp3","normalized","-18","-1","-30.9","-18.6","-21.3","-6.6","mp3","mp3","C:\Users\RIZI1\Documents\Codex\2026-05-15\new-chat\whitedevil-current\_audio_backup\normalize_media_20260614_092922\assets\media\normal_bgm.mp3"
"assets\puremia.mp4","mp4","normalized","-18","-1","-20.3","0.0","-26.6","-5.3","aac","aac","C:\Users\RIZI1\Documents\Codex\2026-05-15\new-chat\whitedevil-current\_audio_backup\normalize_media_20260614_092922\assets\puremia.mp4"
"assets\rogi1.mp4","mp4","normalized","-18","-1","-31.2","-12.5","-23.1","-3.8","aac","aac","C:\Users\RIZI1\Documents\Codex\2026-05-15\new-chat\whitedevil-current\_audio_backup\normalize_media_20260614_092922\assets\rogi1.mp4"
"assets\rogi2.mp4","mp4","normalized","-18","-1","-19.7","-2.9","-18.6","-1.6","aac","aac","C:\Users\RIZI1\Documents\Codex\2026-05-15\new-chat\whitedevil-current\_audio_backup\normalize_media_20260614_092922\assets\rogi2.mp4"
"assets\rogi3.mp4","mp4","normalized","-18","-1","-15.4","0.0","-23.0","-7.2","aac","aac","C:\Users\RIZI1\Documents\Codex\2026-05-15\new-chat\whitedevil-current\_audio_backup\normalize_media_20260614_092922\assets\rogi3.mp4"
"assets\zako1.mp4","mp4","normalized","-18","-1","-91.0","-91.0","-91.0","-91.0","aac","aac","C:\Users\RIZI1\Documents\Codex\2026-05-15\new-chat\whitedevil-current\_audio_backup\normalize_media_20260614_092922\assets\zako1.mp4"
"assets\zako1-2.mp4","mp4","near-silent/skipped","-18","-1","-91.0","-91.0","","","aac","","C:\Users\RIZI1\Documents\Codex\2026-05-15\new-chat\whitedevil-current\_audio_backup\normalize_media_20260614_092922\assets\zako1-2.mp4"
