"Status","Source","Destination"
"MOVED","C:\Users\RIZI1\Dropbox (旧)\ストグラ\スロット開発\素材\087878b0-3f23-453d-888b-7bb5d948e8ac.png","C:\Users\RIZI1\Dropbox\ストグラ\スロット開発\素材\087878b0-3f23-453d-888b-7bb5d948e8ac.png"
"MOVED","C:\Users\RIZI1\Dropbox (旧)\ストグラ\スロット開発\素材\651085f7-3dc6-4bbd-af6b-aeef78cbf452.png","C:\Users\RIZI1\Dropbox\ストグラ\スロット開発\素材\651085f7-3dc6-4bbd-af6b-aeef78cbf452.png"
"MOVED","C:\Users\RIZI1\Dropbox (旧)\ストグラ\スロット開発\素材\BONUS確定_悪魔ゴールド_animated.gif","C:\Users\RIZI1\Dropbox\ストグラ\スロット開発\素材\BONUS確定_悪魔ゴールド_animated.gif"
"MOVED","C:\Users\RIZI1\Dropbox (旧)\ストグラ\スロット開発\素材\DEVILZONE_ビカビカ_止まらないループ.gif","C:\Users\RIZI1\Dropbox\ストグラ\スロット開発\素材\DEVILZONE_ビカビカ_止まらないループ.gif"
"MOVED","C:\Users\RIZI1\Dropbox (旧)\ストグラ\スロット開発\素材\df3d745c-9b03-4e8d-affc-a63fc9e515aa.png","C:\Users\RIZI1\Dropbox\ストグラ\スロット開発\素材\df3d745c-9b03-4e8d-affc-a63fc9e515aa.png"
"MOVED","C:\Users\RIZI1\Dropbox (旧)\ストグラ\スロット開発\素材\download.png","C:\Users\RIZI1\Dropbox\ストグラ\スロット開発\素材\download.png"
"MOVED","C:\Users\RIZI1\Dropbox (旧)\ストグラ\スロット開発\素材\f67c1942-00d0-4283-8285-35dad27002bf.png","C:\Users\RIZI1\Dropbox\ストグラ\スロット開発\素材\f67c1942-00d0-4283-8285-35dad27002bf.png"
"MOVED","C:\Users\RIZI1\Dropbox (旧)\ストグラ\スロット開発\素材\gorai.zip","C:\Users\RIZI1\Dropbox\ストグラ\スロット開発\素材\gorai.zip"
"MOVED","C:\Users\RIZI1\Dropbox (旧)\ストグラ\スロット開発\素材\wesker_slot.zip","C:\Users\RIZI1\Dropbox\ストグラ\スロット開発\素材\wesker_slot.zip"
"MOVED","C:\Users\RIZI1\Dropbox (旧)\ストグラ\スロット開発\素材\名称未設定 1.png","C:\Users\RIZI1\Dropbox\ストグラ\スロット開発\素材\名称未設定 1.png"
"MOVED","C:\Users\RIZI1\Dropbox (旧)\ストグラ\スロット開発\素材\名称未設定 2.png","C:\Users\RIZI1\Dropbox\ストグラ\スロット開発\素材\名称未設定 2.png"
"MOVED","C:\Users\RIZI1\Dropbox (旧)\ストグラ\スロット開発\素材\筐体.png","C:\Users\RIZI1\Dropbox\ストグラ\スロット開発\素材\筐体.png"
"MOVED","C:\Users\RIZI1\Dropbox (旧)\ストグラ\スロット開発\素材\超DEVILZONE_まがまがしい炎_animated.gif","C:\Users\RIZI1\Dropbox\ストグラ\スロット開発\素材\超DEVILZONE_まがまがしい炎_animated.gif"
